compound,disease,consensus_score,topical_score
Embelin,scar,0.6873796383539835,0.0455
Aloe-emodin,scar,0.6492767930030823,0.0014
Acetylshikonin,scar,0.645699938138326,0.0131
Baicalein,scar,0.6337615648905436,0.0061
Shikonin,scar,0.6309171517690023,0.0046
Spirulina-derived phycocyanin,scar,0.6294434666633606,0.001
EGCG,scar,0.6234265367190043,0.0194
Rhein,scar,0.6137513915697733,0.0019
Curcumin,scar,0.60926487048467,0.0218
Emodin,scar,0.5996027588844299,0.0021
Calycosin,scar,0.5312207142512003,0.0121
Avenanthramide B,scar,0.5190443992614746,0.003
Tanshinone IIA,scar,0.5169981221357981,0.0025
Wogonin,scar,0.5150429209073385,0.0069
Theaflavin,scar,0.5006975134213766,0.0015
Silymarin,scar,0.4986741642157237,0.0059
Aloin,scar,0.4921579957008362,0.0096
Cryptotanshinone,scar,0.4795079131921132,0.0055
Baicalin,scar,0.4660588006178538,0.0064
Chlorogenic acid,scar,0.4631278316179911,0.0239
Imperatorin,scar,0.4531214535236358,0.0089
Polydatin,scar,0.4529471000035603,0.0149
Caffeic acid,scar,0.4477220276991526,0.0485
Carnosol,scar,0.404922475417455,0.0096
Carnosic acid,scar,0.4006471633911133,0.0265
Honokiol,scar,0.3893874883651733,0.0291
Hyperforin,scar,0.3768888711929321,0.0033
Sulforaphane,scar,0.3689283033212026,0.0069
Withaferin A,scar,0.3321006496747334,0.0381
Betulinic acid,scar,0.3313152194023132,0.0306
Ferulic acid,scar,0.3244462708632151,0.0457
Lupeol,scar,0.3094407121340434,0.0158
Schizandrin A,scar,0.292184645930926,0.0026
Geniposide,scar,0.2920666933059692,0.0123
Andrographolide,scar,0.2912490665912628,0.0346
Salidroside,scar,0.2808036208152771,0.0343
Paeoniflorin,scar,0.2779923230409622,0.0053
Allantoin from Symphytum,scar,0.2637301782766978,0.0183
Calendulin,scar,0.2588632752497991,0.0334
Allantoin,scar,0.2582724591096242,
Oleanolic acid,scar,0.2577433337767918,0.0192
Asiaticoside,scar,0.245967557032903,
Madecassic acid,scar,0.245163748661677,0.0246
Beta-Sitosterol,scar,0.2419743239879608,0.0089
Linalool,scar,0.224998190999031,0.1028
Asiatic acid,scar,0.1919351319471995,0.0191
Ursolic acid,scar,0.1882082199056943,0.0125
Bisabolol,scar,0.1451338430245717,0.0206
Eucalyptol,scar,0.1221934606631596,0.0452
Ellagic acid,pigment,0.6727199951807658,0.0011
Resveratrol,pigment,0.6328907211621603,0.0722
Apigenin,pigment,0.6302197774251302,0.0236
EGCG,pigment,0.6165623267491659,0.0192
Genistein,pigment,0.6078132192293803,0.0216
Daidzein,pigment,0.589997132619222,0.0271
Kojic acid,pigment,0.5662717620531718,0.051
Oxyresveratrol,pigment,0.5659554402033488,0.0575
Naringenin,pigment,0.5394806861877441,0.0652
Phloretin,pigment,0.5368940730889639,0.1083
Mangiferin,pigment,0.5208427309989929,0.0019
Hydroxytyrosol,pigment,0.4805354674657185,0.1251
Arbutin,pigment,0.4712933500607808,0.0589
Azelaic acid,pigment,0.460207333167394,0.2154
Licochalcone A,pigment,0.4336682558059692,0.0181
Glabridin,pigment,0.4106470743815104,0.0182
Phloridzin,pigment,0.4070872068405151,0.0185
Byakangelicin,pigment,0.4064429601033528,0.12
Imperatorin,pigment,0.4047086238861084,0.008
Liquiritin,pigment,0.396364947160085,0.0121
4-Methoxyresorcinol,pigment,0.3876838187376658,0.0469
Niacinamide,pigment,0.3762383759021759,0.0626
Tyrosol,pigment,0.3716354668140411,0.1662
4-n-butylresorcinol,pigment,0.3618109325567881,0.0846
Hexylresorcinol,pigment,0.3135152260462443,0.0461
Mulberroside A,pigment,0.2536381135384242,0.002
alpha-Arbutin,pigment,0.1925084243218104,0.0568
Spirulina-derived phycocyanin,alopecia,0.5984060863653818,0.0009
EGCG,alopecia,0.5907483299573263,0.0184
Embelin,alopecia,0.5766968727111816,0.0637
Procyanidin B2,alopecia,0.5486611525217692,0.008
Curcumin,alopecia,0.5319494605064392,0.0191
Theaflavin,alopecia,0.5114811261494955,0.0015
Rhein,alopecia,0.5055492321650187,0.0016
Avenanthramide B,alopecia,0.5042498409748077,0.0029
Baicalein,alopecia,0.499526838461558,0.0048
Aloe-emodin,alopecia,0.4932391444842021,0.0011
Honokiol,alopecia,0.4806604385375976,0.0599
Emodin,alopecia,0.4767016172409057,0.0017
Silymarin,alopecia,0.450897604227066,0.0053
Wogonin,alopecia,0.4472218851248423,0.006
Epimedin C,alopecia,0.4452716410160064,0.0014
Cryptotanshinone,alopecia,0.4439077377319336,0.0051
Calycosin,alopecia,0.4348568518956502,0.0099
Beta-Sitosterol,alopecia,0.4345703174670537,0.0161
Shikonin,alopecia,0.423963189125061,0.0031
Baicalin,alopecia,0.4089886248111725,0.0056
Lupeol,alopecia,0.4007510244846344,0.0205
Carnosic acid,alopecia,0.3881453176339467,0.0428
Sulforaphane,alopecia,0.386662761370341,0.0072
Carnosol,alopecia,0.3822314937909444,0.015
Formononetin,alopecia,0.3811444342136383,0.0057
Polydatin,alopecia,0.3307941257953644,0.0109
Imperatorin,alopecia,0.3201321164766947,0.0105
Geniposide,alopecia,0.307492862145106,0.0129
Caffeic acid,alopecia,0.3052201966444651,0.033
Andrographolide,alopecia,0.3046424388885498,0.0362
Chlorogenic acid,alopecia,0.3021739025910695,0.0156
Schizandrin A,alopecia,0.2971137066682179,0.0043
Tetrahydroxystilbene glucoside,alopecia,0.292772630850474,0.05
Betulinic acid,alopecia,0.2843402822812398,0.0263
Oleanolic acid,alopecia,0.283685823281606,0.0211
Ursolic acid,alopecia,0.2795748611291249,0.0185
Salidroside,alopecia,0.20372407635053,0.0249
Niacinamide,alopecia,0.1794216434160868,0.0299
Bisabolol,alopecia,0.1428085217873255,0.0339
Linalool,alopecia,0.1177109256386756,0.0538
Eucalyptol,alopecia,0.07973213493824,0.0295
Embelin,acne,0.599501887957255,0.0397
Retinol,acne,0.5961204369862875,0.0607
EGCG,acne,0.5697075724601746,0.0178
Spirulina-derived phycocyanin,acne,0.5675319035847982,0.0009
Honokiol,acne,0.5452095369497935,0.0408
Apigenin,acne,0.5352382759253184,0.02
Avenanthramide B,acne,0.5225008924802145,0.003
Curcumin,acne,0.5146546165148417,0.0184
Licochalcone A,acne,0.5067452390988668,0.0212
Aloe-emodin,acne,0.5041932463645935,0.0018
Wogonin,acne,0.4979353646437327,0.0067
Berberine,acne,0.4918355643749237,0.0225
Theaflavin,acne,0.4902526338895162,0.0014
Rhein,acne,0.4865762790044148,0.0015
Baicalein,acne,0.4832280178864797,0.0046
Cryptotanshinone,acne,0.4606215556462605,0.0053
Beta-Sitosterol,acne,0.454588661591212,0.0168
Silymarin,acne,0.453186959028244,0.0054
Sulforaphane,acne,0.4467512468496958,0.0139
Lupeol,acne,0.4342680970827738,0.0222
Carnosol,acne,0.4330842792987823,0.0102
Emodin,acne,0.417001336812973,0.0015
Calycosin,acne,0.4119269947210948,0.0094
Baicalin,acne,0.4068797032038371,0.0056
Polydatin,acne,0.4014756282170613,0.0132
Hexylresorcinol,acne,0.4014196097850799,0.0984
Carnosic acid,acne,0.3909499545892079,0.0259
Schizandrin A,acne,0.3825594087441762,0.0034
Imperatorin,acne,0.3778841694196065,0.0124
Chlorogenic acid,acne,0.3640195826689402,0.0188
Shikonin,acne,0.3596622844537099,0.0026
Oleanolic acid,acne,0.3351115783055623,0.0249
Andrographolide,acne,0.3165491471687953,0.0376
Betulinic acid,acne,0.3156825403372447,0.0292
Caffeic acid,acne,0.2910781453053156,0.0525
Salicylic acid,acne,0.268990342815717,0.0841
Ursolic acid,acne,0.2676270504792531,0.0177
Salidroside,acne,0.2307078788677851,0.0282
Geniposide,acne,0.2135796745618184,0.009
Niacinamide,acne,0.1921791980663935,0.032
Bisabolol,acne,0.1889042307933171,0.0269
Eucalyptol,acne,0.1861846471826235,0.0689
Azelaic acid,acne,0.1612880776325861,0.0755
Tea tree oil terpinen-4-ol,acne,0.1297634492317835,0.0512
Linalool,acne,0.1092332030336062,0.0499
Embelin,photoaging,0.6883682608604431,0.076
Baicalein,photoaging,0.6573351422945658,0.0063
Aloe-emodin,photoaging,0.6418578028678894,0.0014
Rhein,photoaging,0.6103272239367167,0.0019
Oxyresveratrol,photoaging,0.6097025473912557,0.062
Curcumin,photoaging,0.5864186684290568,0.021
Quercetin,photoaging,0.583148459593455,0.0061
Resveratrol,photoaging,0.5817496180534363,0.0664
Genistein,photoaging,0.5804408093293508,0.0206
Emodin,photoaging,0.57639413078626,0.002
Retinol,photoaging,0.5632482965787252,0.0574
Daidzein,photoaging,0.5511163274447123,0.0253
EGCG,photoaging,0.5492867330710093,0.0171
Silymarin,photoaging,0.5444741646448771,0.0064
Spirulina-derived phycocyanin,photoaging,0.542840818564097,0.0008
Shikonin,photoaging,0.5347299377123514,0.0039
Phloretin,photoaging,0.5333643853664398,0.1075
Mangiferin,photoaging,0.528612474600474,0.0019
Wogonin,photoaging,0.5267943243185679,0.0071
Chlorogenic acid,photoaging,0.5067282319068909,0.0261
Naringenin,photoaging,0.5058107177416483,0.0611
Calycosin,photoaging,0.4987232486406962,0.0114
Andrographolide,photoaging,0.4864627520243327,0.0578
Hydroxytyrosol,photoaging,0.4790186683336894,0.0748
Baicalin,photoaging,0.4763574302196502,0.0066
Theaflavin,photoaging,0.4758572181065877,0.0014
Polydatin,photoaging,0.4733011126518249,0.0156
Formononetin,photoaging,0.4622725546360016,0.0069
Bakuchiol,photoaging,0.4611529111862182,0.0372
Lupeol,photoaging,0.4483354389667511,0.0229
Avenanthramide B,photoaging,0.4476833740870158,0.0026
Caffeic acid,photoaging,0.4378893176714579,0.0474
Ursolic acid,photoaging,0.4264417390028636,0.0283
Honokiol,photoaging,0.4036216835180918,0.0503
Cryptotanshinone,photoaging,0.4009967744350433,0.0046
Betulinic acid,photoaging,0.397358516852061,0.0367
Ferulic acid,photoaging,0.3906921645005544,0.0551
Imperatorin,photoaging,0.3715935945510864,0.0122
Beta-Sitosterol,photoaging,0.369557316104571,0.0137
Carnosol,photoaging,0.3579249580701192,0.0141
Oleanolic acid,photoaging,0.3509818414847056,0.0261
Phloridzin,photoaging,0.3491589725017547,0.0159
Schizandrin A,photoaging,0.343086302280426,0.005
Niacinamide,photoaging,0.3261193831761678,0.0543
Carnosic acid,photoaging,0.323631207148234,0.0357
Tyrosol,photoaging,0.2822629412015279,0.0757
Geniposide,photoaging,0.2728967666625976,0.0115
Sulforaphane,photoaging,0.2548175503810246,0.0048
Salidroside,photoaging,0.2501924534638722,0.0305
Linalool,photoaging,0.1877210736274719,0.0858
Bisabolol,photoaging,0.1862383882204691,0.0442
Eucalyptol,photoaging,0.1036428039272626,0.0384
