leader,rank,tanimoto,src,match_smiles,match_name,row_idx
R12_4,1,1.0,r14_candidates,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,199
R12_4,2,1.0,r15_brics,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,0
R12_4,3,0.679,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,14
R12_4,4,0.679,r15_brics,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,20
R12_4,5,0.667,r14_candidates,OCc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,26
R12_4,6,0.667,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1c1cc(O)c(O)c(O)c1)C2,brics_massive,180
R12_4,7,0.655,r14_candidates,Oc1ccc2c(c1)OCC(OC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,49
R12_4,8,0.643,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,22
R12_4,9,0.643,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1Oc1cc(O)c(O)c(O)c1)C2,brics_massive,104
R12_4,10,0.633,r14_candidates,OCc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,21
R12_4,11,0.632,r14_candidates,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,19
R12_4,12,0.632,r14_candidates,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,33
R12_4,13,0.632,r15_brics,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,24
R12_4,14,0.6,r14_candidates,O=C(Oc1cc(O)c(O)c(O)c1)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,124
R12_4,15,0.59,r14_candidates,COc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,20
R12_4,16,0.59,r14_candidates,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,111
R12_4,17,0.571,r14_candidates,COc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,18
R12_4,18,0.571,r14_candidates,COc1ccc(O)c(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,198
R12_4,19,0.554,r14_candidates,C=CC(C)(C)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,4
R12_4,20,0.554,r14_candidates,C=CC(C)(C)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,24
R12_4,21,0.554,r14_candidates,COC(=O)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,72
R12_4,22,0.554,r14_candidates,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,146
R12_4,23,0.545,r14_candidates,C=CC(C)(C)c1ccc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,29
R12_4,24,0.524,r14_candidates,OCC1Oc2cc(O)cc(O)c2CC1c1cc(C2COc3cc(O)ccc3C2)ccc1O,brics_massive,115
R12_4,25,0.522,r14_candidates,C=CC(C)(C)c1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,3
R12_4,26,0.522,r14_candidates,C=CC(C)(C)c1ccc(O)c(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,46
R12_4,27,0.476,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C=CC1COc2cc(O)ccc2C1,brics_massive,32
R12_4,28,0.476,r14_candidates,COC1Oc2cc(O)cc(O)c2CC1C=CC1COc2cc(O)ccc2C1,brics_massive,192
R12_4,29,0.47,r14_candidates,COC1Oc2cc(O)cc(O)c2CC1c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,brics_massive,99
R12_4,30,0.469,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1Oc3cc(O)cc(O)c3CC1c1cc(O)c(O)c(O)c1)C2,brics_massive,138
R12_11,1,1.0,r14_candidates,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,11
R12_11,2,1.0,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,3
R12_11,3,1.0,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,34
R12_11,4,0.679,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,brics_massive,2
R12_11,5,0.679,r14_candidates,OCc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,126
R12_11,6,0.679,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,4
R12_11,7,0.679,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,38
R12_11,8,0.667,r14_candidates,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,5
R12_11,9,0.667,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(-c3cc(O)c(O)c(O)c3)ccc1O)C2,brics_massive,45
R12_11,10,0.667,r14_candidates,COc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,84
R12_11,11,0.667,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,2
R12_11,12,0.667,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,39
R12_11,13,0.649,r14_candidates,C=CC(C)(C)c1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,7
R12_11,14,0.609,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,brics_massive,17
R12_11,15,0.604,r15_brics,COc1ccc(O)c(C2COc3cc(O)ccc3C2)c1,?,18
R12_11,16,0.604,r15_brics,COc1ccc(O)c(C2COc3cc(O)ccc3C2)c1,?,26
R12_11,17,0.596,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(O)c(O)c(O)c1)C2,brics_massive,55
R12_11,18,0.571,r14_candidates,OCc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,6
R12_11,19,0.569,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(-c3cc(O)c(O)c(O)c3)c(O)c1O)C2,brics_massive,88
R12_11,20,0.561,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,brics_massive,9
R12_11,21,0.561,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(C3COc4cc(O)ccc4C3)c(O)c1O)C2,brics_massive,38
R12_11,22,0.561,r14_candidates,OCc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,77
R12_11,23,0.561,r14_candidates,COc1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,brics_massive,166
R12_11,24,0.561,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,1
R12_11,25,0.561,r15_brics,COc1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,?,13
R12_11,26,0.561,r15_brics,COc1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,?,32
R12_11,27,0.561,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,43
R12_11,28,0.554,r14_candidates,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,brics_massive,117
R12_11,29,0.541,r14_candidates,C=CC(C)(C)c1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,0
R12_11,30,0.541,r14_candidates,C=CC(C)(C)c1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,10
R12_23,1,1.0,r14_candidates,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,33
R12_23,2,1.0,r15_brics,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,24
R12_23,3,0.772,r14_candidates,O=C(Oc1cc(O)c(O)c(O)c1)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,124
R12_23,4,0.709,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,14
R12_23,5,0.709,r15_brics,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,20
R12_23,6,0.656,r14_candidates,COC(=O)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,72
R12_23,7,0.656,r14_candidates,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,146
R12_23,8,0.632,r14_candidates,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,199
R12_23,9,0.632,r15_brics,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,?,0
R12_23,10,0.631,r14_candidates,COC(=O)C1Cc2c(O)cc(O)cc2OC1c1cc(C2COc3cc(O)ccc3C2)ccc1O,brics_massive,100
R12_23,11,0.631,r14_candidates,COC(=O)C1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,brics_massive,195
R12_23,12,0.627,r14_candidates,Oc1ccc2c(c1)OCC(OC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,49
R12_23,13,0.619,r14_candidates,COc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,20
R12_23,14,0.619,r14_candidates,COc1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,111
R12_23,15,0.617,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1Oc1cc(O)c(O)c(O)c1)C2,brics_massive,104
R12_23,16,0.613,r14_candidates,COC1Oc2cc(O)cc(O)c2CC1C(=O)OC1COc2cc(O)ccc2C1,brics_massive,158
R12_23,17,0.61,r14_candidates,Oc1ccc2c(c1)OCC(C1Oc3cc(O)cc(O)c3CC1c1cc(O)c(O)c(O)c1)C2,brics_massive,180
R12_23,18,0.607,r14_candidates,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,brics_massive,19
R12_23,19,0.6,r14_candidates,COc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,18
R12_23,20,0.6,r14_candidates,COc1ccc(O)c(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,brics_massive,198
R12_23,21,0.59,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1Cc3c(O)cc(O)cc3OC1C1COc3cc(O)ccc3C1)C2,brics_massive,22
R12_23,22,0.586,r15_brics,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1OC,?,25
R12_23,23,0.562,r14_candidates,OCc1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,26
R12_23,24,0.562,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C(=O)OC1COc2cc(O)ccc2C1,brics_massive,39
R12_23,25,0.562,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1OC(=O)C1COc2cc(O)ccc2C1,brics_massive,151
R12_23,26,0.561,r14_candidates,OCc1cc(OC2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,21
R12_23,27,0.559,r14_candidates,COC(=O)C1Oc2cc(O)cc(O)c2CC1c1cc(C2COc3cc(O)ccc3C2)ccc1O,brics_massive,57
R12_23,28,0.559,r14_candidates,COC(=O)C1Oc2cc(O)cc(O)c2CC1c1ccc(O)c(C2COc3cc(O)ccc3C2)c1,brics_massive,97
R12_23,29,0.556,r15_brics,COC(=O)C1COc2cc(O)ccc2C1,?,23
R12_23,30,0.536,r14_candidates,C=CC(C)(C)c1cc(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)ccc1O,brics_massive,4
R14_5,1,1.0,r14_candidates,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,5
R14_5,2,1.0,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,2
R14_5,3,1.0,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,39
R14_5,4,0.692,r14_candidates,OCc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,6
R14_5,5,0.679,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,brics_massive,9
R14_5,6,0.679,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,1
R14_5,7,0.679,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,43
R14_5,8,0.667,r14_candidates,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,11
R14_5,9,0.667,r14_candidates,COc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,84
R14_5,10,0.667,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,3
R14_5,11,0.667,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,34
R14_5,12,0.66,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(O)c(O)c(O)c1)C2,brics_massive,55
R14_5,13,0.649,r14_candidates,C=CC(C)(C)c1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,0
R14_5,14,0.611,r14_candidates,COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,brics_massive,117
R14_5,15,0.609,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,brics_massive,17
R14_5,16,0.604,r14_candidates,COc1cc(C2COc3cc(O)ccc3C2)ccc1O,brics_massive,13
R14_5,17,0.604,r15_brics,COc1cc(C2COc3cc(O)ccc3C2)ccc1O,?,12
R14_5,18,0.604,r15_brics,COc1cc(C2COc3cc(O)ccc3C2)ccc1O,?,36
R14_5,19,0.6,r14_candidates,COc1cc(-c2ccc(O)c(OC3COc4cc(O)ccc4C3)c2)ccc1O,brics_massive,96
R14_5,20,0.561,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,brics_massive,2
R14_5,21,0.561,r14_candidates,COc1cc(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,brics_massive,78
R14_5,22,0.561,r14_candidates,OCc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,126
R14_5,23,0.561,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,4
R14_5,24,0.561,r15_brics,COc1cc(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,?,17
R14_5,25,0.561,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,38
R14_5,26,0.561,r15_brics,COc1cc(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,?,41
R14_5,27,0.552,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(-c3cc(O)c(O)c(O)c3)ccc1O)C2,brics_massive,45
R14_5,28,0.542,r14_candidates,COc1cc(OC(=O)C2COc3cc(O)ccc3C2)ccc1O,brics_massive,145
R14_5,29,0.542,r14_candidates,COc1cc(Oc2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,brics_massive,196
R14_5,30,0.541,r14_candidates,C=CC(C)(C)c1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,7
R13_13,1,0.6,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(O)c(O)c(O)c1)C2,brics_massive,55
R13_13,2,0.557,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(-c3cc(O)c(O)c(O)c3)ccc1O)C2,brics_massive,45
R13_13,3,0.55,r14_candidates,OCc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,6
R13_13,4,0.549,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,brics_massive,17
R13_13,5,0.541,r14_candidates,OCc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,77
R13_13,6,0.541,r14_candidates,OCc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,126
R13_13,7,0.532,r14_candidates,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,11
R13_13,8,0.532,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,3
R13_13,9,0.532,r15_brics,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,?,34
R13_13,10,0.524,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(-c3cc(O)c(O)c(O)c3)c(O)c1O)C2,brics_massive,88
R13_13,11,0.516,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,brics_massive,2
R13_13,12,0.516,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,4
R13_13,13,0.516,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,?,38
R13_13,14,0.516,r14_candidates,O=C(C=Cc1cc(O)c(O)c(O)c1)CC(=O)C=CC1COc2cc(O)ccc2C1,brics_massive,56
R13_13,15,0.508,r14_candidates,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,5
R13_13,16,0.508,r14_candidates,COc1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,84
R13_13,17,0.508,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,2
R13_13,18,0.508,r15_brics,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,?,39
R13_13,19,0.5,r14_candidates,C=CC(C)(C)c1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,brics_massive,7
R13_13,20,0.5,r14_candidates,C=CC(C)(C)c1ccc(C=CC2COc3cc(O)ccc3C2)c(O)c1O,brics_massive,10
R13_13,21,0.5,r14_candidates,O=C(C=CC1COc2cc(O)ccc2C1)CC(=O)C=CC1COc2cc(O)ccc2C1,brics_massive,30
R13_13,22,0.492,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,brics_massive,9
R13_13,23,0.492,r14_candidates,Oc1ccc2c(c1)OCC(C=Cc1ccc(C3COc4cc(O)ccc4C3)c(O)c1O)C2,brics_massive,38
R13_13,24,0.492,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,1
R13_13,25,0.492,r15_brics,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,?,43
R13_13,26,0.478,r14_candidates,C=CC(C)(C)c1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,brics_massive,0
R13_13,27,0.449,r14_candidates,Oc1ccc2c(c1)OCC(C=CC1Oc3cc(O)cc(O)c3CC1c1cc(O)c(O)c(O)c1)C2,brics_massive,138
R13_13,28,0.437,r14_candidates,C=CC(C)(C)C1Cc2c(O)cc(O)cc2OC1C=CC1COc2cc(O)ccc2C1,brics_massive,51
R13_13,29,0.435,r14_candidates,COC1Cc2c(O)cc(O)cc2OC1C=CC1COc2cc(O)ccc2C1,brics_massive,32
R13_13,30,0.435,r14_candidates,CSc1ccc2c(c1)OCC(C=Cc1ccc(CO)c(O)c1O)C2,,106
